José J. Carvalho Ribeiro ,PSD  ,Águeda 
Lamego ,António Ferreira ,PRD  
Mangualde ,Mário M. Videira Lopes ,PS 
Moimenta da Beira ,Alexandre Gomes Cardia ,CDS 
Mortágua ,Bráulio Afonso Sousa ,PSD 
Nelas ,José M. Lopes Almeida ,PSD 
Oliveira de Frades ,João C. Azevedo Maia ,PSD 
Penalva do castelo ,Leonídio F. Gomes Monteiro ,PSD  
Penedono ,João M. Rodrigues Carvalho ,PSD 
Resende ,Albino H. A. Brito Matos ,PSD 
Santa Comba Dão ,Daniel Pedro Santos ,PSD 
São João da Pesqueira ,João Nascimento Costa ,PSD 
São Pedro do Sul ,Manuel A. Gomes Martins ,PSD  
Sátão ,Luis M. Magalhães Cabral ,CDS 
Sernancelhe ,Franclim Quintais Silva ,CDS 
Tabuaço ,António Augusto Resende ,CDS 
Tarouca ,Ananias Carmo Santos ,PSD 
Tondela ,Luis F. Gonçalves Riquito ,PSD 
Vila Nova de Paiva ,Avantino Loureiro Beleza ,CDS 
Viseu ,Manuel A Engrácia Carrilho ,CDS 
Vouzela ,Augusto Santos Guimarães ,PSD 
Angra do Heroísmo ,Joaquim C. Vasconcelos Ponte ,PSD  
Calheta ,Luis N. Pereira Serpa  ,PSD  
Santa Cruz da Graciosa  ,Maria L. Fagundes Pereira ,PSD  
Velas  ,António F. Correia Maciel ,PSD  
Vila Praia da Vitória  ,Thieres Ávila Cunha ,PSD  
Corvo   ,José Vinício Fraga ,PSD  
Horta  ,Herberto Bettencourt Dart ,PSD  
Lajes das Flores  ,Albino C. Alves Gomes ,PSD  
Lajes do Pico  ,Manuel P. C. Ribeiro Costa ,PS  
Madalena  ,Manuel Pereira Furtado ,PSD  
Santa Cruz das Flores ,João Manuel Sousa  ,PSD  
São Roque do Pico  ,António Simas Costa ,PSD  
Lagoa ,Ângelo M. Albergaria Pacheco ,PSD  
Nordeste  ,Eduardo M. Pacheco Medeiros  ,PSD  
Ponta Delgada  ,João Gago Câmara ,PSD  
Povoação  ,António M. Medeiros Ferreira  ,PSD  
Ribeira Grande  ,Hermano E. Attayde Motta ,PSD  
Vila Franca de Campo  ,José E. Pacheco Melo ,PSD  
Vila do Porto  ,José H. Medeiros Chaves ,PS  
Calheta  ,Manuel Silva Leca ,PSD  
Câmara de Lobos  ,Gabriel G. Nascimento Ornelas ,PSD  
Funchal  ,João H. Silva Dantas ,PSD  
Machico  ,Jorge Moreira Sousa ,PSD  
Ponta do Sol  ,José E. L. Teixeira Pita  ,PSD  
Porto Moniz ,Manuel Ildefonso Castro ,PSD 
Porto Santo  ,Jorge E. M. Caldeira Freitas  ,PSD  
Ribeira Brava  ,Luis A. C. Pereira Mendes  ,PSD  
Santa Cruz  ,Luis G. Andrade Rodrigues ,PSD  
Santana  ,Luis Edoarte Freitas ,PSD  
São Vicente  ,Gabriel P. Drumond Esmeraldo  ,PSD  
