433,José Carlos Sena Belo Megre,2010-08-07 00:24:56
434,Nuno Augusto Dias Filipe,2010-08-07 00:24:59
435,João Paulo de Abreu Correia Alves,2010-08-07 00:25:00
436,Armando Jose de Carvalho Rodrigues Pereira,2010-08-07 00:25:01
437,Horácio André Antunes,2010-08-07 00:25:04
438,José Carlos das Dores Zorrinho,2010-08-07 00:25:05
439,Victor Manuel Barao Martelo,2010-08-07 00:25:07
440,Domingos Fernandes Cordeiro,2010-08-07 00:25:08
441,Manuel Francisco Aleixo,2010-08-07 00:25:09
442,Mariana Rosa Gomes Chilra,2010-08-07 00:25:10
443,Joaquim Dias da Silva Pinto,2010-08-07 00:25:11
444,Joaquim Jose Leal de Carvalho Afonso,2010-08-07 00:25:13
445,Ana Cristina de Carvalho Barros,2010-08-07 00:25:14
446,José Manuel Sebastião Santos Ferreira,2010-08-07 00:25:16
447,Arsénio Manuel Vieira Catuna,2010-08-07 00:25:17
448,Eduardo Mendes de Brito,2010-08-07 00:25:18
449,Rogério dos Santos Nabais,2010-08-07 00:25:19
450,Armando Jose dos Santos Almeida,2010-08-07 00:25:20
451,Armando Jose Loureiro de Sousa,2010-08-07 00:25:22
452,António Augusto Seara Paixão,2010-08-07 00:25:26
453,José António de Sousa Canha,2010-08-07 00:25:27
454,José Carlos Santos de Almeida,2010-08-07 00:25:28
455,Armindo Lopes Carolino,2010-08-07 00:25:29
456,João Paulo Feteira Pedrosa,2010-08-07 00:25:31
457,Ana Cristina Martinho Costa,2010-08-07 00:25:32
458,Jorge Fernando Branco de Sampaio,2010-08-07 00:25:34
459,João Cardona Gomes Cravinho,2010-08-07 00:25:36
460,Acácio Manuel de Frias Barreiros,2010-08-07 00:25:37
461,Sara Barros Queiroz Amâncio,2010-08-07 00:25:38
462,Alberto de Sousa Martins,2010-08-07 00:25:41
463,Fernando Gomes Ka,2010-08-07 00:25:42
464,Eugénio Manuel Bilstein Menezes de Sequeira,2010-08-07 00:25:43
465,José Maria Freire Brandão de Brito,2010-08-07 00:25:44
466,Wanda Olavo Correa D'azevedo Guimarães,2010-08-07 00:25:46
467,Carlos Justino Luis Cordeiro,2010-08-07 00:25:47
468,João Paulo de Castro e Silva Bessa,2010-08-07 00:25:48
469,Porfírio Simoes de Carvalho e Silva,2010-08-07 00:25:49
470,José Júlio Gaspar Duarte,2010-08-07 00:25:50
471,Ana Sara Cavalheiro Alves de Brito,2010-08-07 00:25:52
472,Fernando Jose Vicente Mendes,2010-08-07 00:25:53
473,Francisco Jose Pinto Camilo,2010-08-07 00:25:54
474,Arménio Mendes Toscano,2010-08-07 00:25:55
475,Jaime D'assis Mourato Ceia,2010-08-07 00:25:56
476,António José Ceia da Silva,2010-08-07 00:25:58
477,Francisco Jose Meira da Silva,2010-08-07 00:25:59
478,Joaquim Cavaqueiro Mestre,2010-08-07 00:26:01
479,José Manuel Marques da Silva Lemos,2010-08-07 00:26:02
480,Fernando Antão de Oliveira Ramos,2010-08-07 00:26:03
481,Rui Antonio Pinto da Silva,2010-08-07 00:26:04
482,Paula Cristina Ferreira Guimarães Duarte,2010-08-07 00:26:06
483,Bernardino Luís de Mora Guimarães,2010-08-07 00:26:07
484,José da Conceiçao Saraiva,2010-08-07 00:26:09
485,Lício Pereira Correia,2010-08-07 00:26:10
486,José Cândido Rodrigues Pimenta,2010-08-07 00:26:11
487,Fernando Manuel de Jesus,2010-08-07 00:26:13
488,José Carlos Moreira da Silva,2010-08-07 00:26:15
489,António José Nogueira Magalhães,2010-08-07 00:26:16
490,João Baptista Vasconcelos de Miranda Magalhães,2010-08-07 00:26:17
491,João José Felix Marnoto Praia,2010-08-07 00:26:18
492,Emanuel Joao de Freitas Lopes Teixeira,2010-08-07 00:26:20
493,José Jesus Brilhante,2010-08-07 00:26:21
494,José Manuel Niza Antunes Mendes,2010-08-07 00:26:22
495,N/A,2010-08-07 00:26:23
496,António Manuel Ferreira Henriques de Oliveira,2010-08-07 00:26:24
497,Fernando da Graça Silva,2010-08-07 00:26:26
498,Maria Odete Saraiva Ferreira Sirgado,2010-08-07 00:26:28
499,Carlos Alberto Pato das Neves,2010-08-07 00:26:29
500,José António Feliciano Marques,2010-08-07 00:26:31
501,Nelsom Augusto Marques de Carvalho,2010-08-07 00:26:32
502,Artur Simoes Rodrigues,2010-08-07 00:26:33
503,Artur Fernando Salgado,2010-08-07 00:26:35
504,Alberto dos Santos Figueiredo,2010-08-07 00:26:36
505,Jose Manuel Torres Couto,2010-08-07 00:26:37
506,Manuel da Mata de Cáceres,2010-08-07 00:26:38
507,Joel Eduardo Neves Hasse Ferreira,2010-08-07 00:26:40
508,Artur Cortez Pereira dos Santos,2010-08-07 00:26:41
509,Nelson Jorge dos Santos Godinho Parreira,2010-08-07 00:26:43
510,António João Cisneiro Sardinha,2010-08-07 00:26:44
511,José Francisco dos Santos,2010-08-07 00:26:46
512,Octávio do Carmo Ferreira da Costa,2010-08-07 00:26:47
513,Carlos Marques Taleço,2010-08-07 00:26:48
514,Carlos Manuel Gouveia Lopes,2010-08-07 00:26:49
515,José Filipe dos Santos Oliveira,2010-08-07 00:30:28
516,José Carlos Lourenço Tavares Pereira,2010-08-07 00:30:29
517,Eduardo Francisco Brandao Machado Cruz,2010-08-07 00:30:30
518,José Emílio da Rocha Antunes Viana,2010-08-07 00:30:31
519,José Luís Rodrigues Figueiredo,2010-08-07 00:30:32
520,José Adriano Viana Alves,2010-08-07 00:30:33
521,Maria Margarida da Costa e Silva Pereira Taveira de Sousa,2010-08-07 00:30:34
522,Antonio Chaves Medeiros,2010-08-07 00:30:35
523,Francisco Jose Ferreira da Rocha,2010-08-07 00:30:36
524,Luís Eduardo Pereira Pinto,2010-08-07 00:30:37
525,Virgínia Maria dos Santos Coutinho Estrocio,2010-08-07 00:30:38
526,Sílvio Duarte Teixeira Pinto Varandas,2010-08-07 00:30:39
527,José Eduardo dos Reis,2010-08-07 00:30:40
528,Alberto da Silva Cardoso,2010-08-07 00:30:41
529,Rui Alberto Nunes dos Santos,2010-08-07 00:30:42
530,Reinaldo Augusto Fernandes de Oliveira,2010-08-07 00:30:43
531,Ademar Sequeira de Carvalho,2010-08-07 00:30:44
533,José Paulo Martins Casaca,2010-08-07 00:30:46
534,Natália Tomás de Medeiros de Almeida,2010-08-07 00:30:47
535,Fernando Jose Ferreira da Rocha,2010-08-07 00:30:49
536,Rui Pedro Lopes Machado Ávila,2010-08-07 00:30:50
